time,sst_anomaly_forecast,lat,lon
2031-05-31 00:10:01+00:00,0.58039105,-18.0,147.0
2031-06-30 00:10:01+00:00,0.53642195,-18.0,147.0
2031-07-31 00:10:01+00:00,0.50459975,-18.0,147.0
2031-08-31 00:10:01+00:00,0.4849508,-18.0,147.0
2031-09-30 00:10:01+00:00,0.46201834,-18.0,147.0
2031-10-31 00:10:01+00:00,0.4409269,-18.0,147.0
2031-11-30 00:10:01+00:00,0.42562008,-18.0,147.0
2031-12-31 00:10:01+00:00,0.41519254,-18.0,147.0
2032-01-31 00:10:01+00:00,0.4115344,-18.0,147.0
2032-02-29 00:10:01+00:00,0.41938657,-18.0,147.0
2032-03-31 00:10:01+00:00,0.44221738,-18.0,147.0
2032-04-30 00:10:01+00:00,0.47632384,-18.0,147.0
2032-05-31 00:10:01+00:00,0.5192098,-18.0,147.0
2032-06-30 00:10:01+00:00,0.58010876,-18.0,147.0
2032-07-31 00:10:01+00:00,0.6403546,-18.0,147.0
2032-08-31 00:10:01+00:00,0.70888567,-18.0,147.0
2032-09-30 00:10:01+00:00,0.77004856,-18.0,147.0
2032-10-31 00:10:01+00:00,0.82560587,-18.0,147.0
2032-11-30 00:10:01+00:00,0.8635301,-18.0,147.0
2032-12-31 00:10:01+00:00,0.8944615,-18.0,147.0
2033-01-31 00:10:01+00:00,0.914244,-18.0,147.0
2033-02-28 00:10:01+00:00,0.9225009,-18.0,147.0
2033-03-31 00:10:01+00:00,0.9270382,-18.0,147.0
2033-04-30 00:10:01+00:00,0.93668187,-18.0,147.0
2033-05-31 00:10:01+00:00,0.962979,-18.0,147.0
2033-06-30 00:10:01+00:00,1.0263189,-18.0,147.0
2033-07-31 00:10:01+00:00,1.1415876,-18.0,147.0
2033-08-31 00:10:01+00:00,1.2783369,-18.0,147.0
2033-09-30 00:10:01+00:00,1.40727,-18.0,147.0
2033-10-31 00:10:01+00:00,1.5058627,-18.0,147.0
2033-11-30 00:10:01+00:00,1.5612004,-18.0,147.0
2033-12-31 00:10:01+00:00,1.5608686,-18.0,147.0
