sst_mean,sst_max,sst_min,sst_std,par_mean,par_max,par_min,par_std,kd_490_mean,kd_490_max,kd_490_min,kd_490_std,month_sin,month_cos,co2_ppm,time,month,pred_chlor_a_mean,pred_poc_mean,bleaching_risk,bio_demand,bio_supply
28.902626,32.779884,26.64564,0.6402403,50.28586,57.81652,34.424137,3.3461833,0.04625624,3.0685854,0.02006038,0.080336966,0.8660254037844386,0.5000000000000001,410.42554,2030-02-28 00:45:01.884,2,0.29513192,64.13342,0,1.3106319439638363,1.8323835
28.929195,32.11505,26.328598,0.62478375,49.499695,55.0497,34.662502,2.9336638,0.045618363,2.6390753,0.020976666,0.06747134,1.0,6.123233995736766e-17,408.17505,2030-03-31 00:45:01.884,3,0.28077993,61.696095,0,1.3130478574787177,1.7627455
28.090717,31.07974,25.219193,0.71152866,43.636074,49.63396,32.75543,2.5606072,0.045613248,2.1018023,0.021074494,0.05257509,0.8660254037844387,-0.4999999999999998,411.0054,2030-04-30 00:45:01.884,4,0.2866037,66.02146,0,1.2389102684252453,1.8863275
26.841105,29.945148,22.778482,0.91296816,35.91088,44.858494,29.847668,2.4918332,0.045035794,1.721627,0.021176659,0.045216743,0.49999999999999994,-0.8660254037844387,413.78033,2030-05-31 00:45:01.884,5,0.28068885,66.90251,0,1.1361162797397537,1.9115003
25.52793,28.821571,20.300179,1.0298946,33.018375,40.802284,27.08021,2.442171,0.043330938,1.8404313,0.021511659,0.040774837,1.2246467991473532e-16,-1.0,413.19894,2030-06-30 00:45:01.884,6,0.26129982,64.25281,0,1.0372710967100012,1.8357944
24.666584,27.880278,19.657238,1.1264201,34.022778,41.697132,27.950445,2.305051,0.042233758,1.7334393,0.022403637,0.04004394,-0.4999999999999997,-0.8660254037844388,413.5966,2030-07-31 00:45:01.884,7,0.2386695,62.89446,0,0.977154369307357,1.7969846
24.54003,27.805473,20.455833,1.101334,40.25686,47.05179,30.761227,2.194025,0.040727664,1.3538511,0.023056783,0.035749413,-0.8660254037844385,-0.5000000000000004,413.56155,2030-08-31 00:45:01.884,8,0.21986999,59.011692,0,0.9686202034136226,1.6860484
24.732513,28.258698,22.166946,0.8948053,48.53313,53.27347,34.86561,2.4972348,0.03930614,1.2727473,0.022761503,0.032637496,-1.0,-1.8369701987210297e-16,411.61603,2030-09-30 00:45:01.884,9,0.20191665,58.690998,0,0.9816300370237687,1.6768856
25.576258,29.193277,23.588589,0.76148707,54.87838,59.137733,37.50086,3.0471594,0.039032586,1.1223862,0.021882469,0.026795369,-0.8660254037844386,0.5000000000000001,410.75024,2030-10-31 00:45:01.884,10,0.20204437,57.236893,0,1.0407516170192805,1.6353397
26.845444,30.420069,24.74482,0.76443803,55.962658,62.059113,40.181633,3.4571521,0.03846594,0.71422255,0.021265266,0.02669818,-0.5000000000000004,0.8660254037844384,409.62808,2030-11-30 00:45:01.884,11,0.18505427,55.287304,1,1.1364580255542494,1.5796373
27.741352,31.275486,25.577549,0.7908197,55.267006,62.88359,40.745255,3.6427827,0.038788572,0.54867685,0.021090975,0.027080242,-2.4492935982947064e-16,1.0,408.18652,2030-12-31 00:45:01.884,12,0.18014519,54.175556,1,1.2092689953520532,1.547873
28.538351,31.642996,26.03341,0.7235513,53.83634,62.908733,39.136925,3.4779472,0.040390685,1.139025,0.021303613,0.034529995,0.49999999999999994,0.8660254037844387,409.7506,2031-01-31 00:45:01.884,1,0.20639157,56.792473,0,1.277953284832621,1.622642
29.13928,32.13753,26.325483,0.6593771,50.468517,60.49695,36.64264,3.0861824,0.043580897,2.2498722,0.02173283,0.050711963,0.8660254037844386,0.5000000000000001,410.98288,2031-02-28 00:45:01.884,2,0.24168919,60.231537,0,1.332308332457797,1.720901
29.02093,31.838854,25.998034,0.6315477,48.19193,56.504745,35.397938,2.7977328,0.044745732,2.5317216,0.022211311,0.053516474,1.0,6.123233995736766e-17,411.9805,2031-03-31 00:45:01.884,3,0.269131,63.12962,0,1.3214235854288057,1.8037034
28.04823,31.177597,24.97309,0.643816,45.108006,50.768932,33.62915,2.5414596,0.044164646,1.9069997,0.022365456,0.04439535,0.8660254037844387,-0.4999999999999998,414.29248,2031-04-30 00:45:01.884,4,0.2714461,65.11109,0,1.2352670765550902,1.8603169
26.8291,30.23277,23.47932,0.7729007,39.759712,46.661335,31.042055,2.4297805,0.04351266,1.2557666,0.022239689,0.03926175,0.49999999999999994,-0.8660254037844387,416.03784,2031-05-31 00:45:01.884,5,0.25958106,64.371025,0,1.1351712842674,1.8391721
25.692661,29.708933,21.501575,0.95364594,36.110615,43.558952,27.75095,2.3718305,0.0426846,0.920903,0.022097647,0.031477477,1.2246467991473532e-16,-1.0,416.27722,2031-06-30 00:45:01.884,6,0.25587264,63.44135,0,1.0491828277926414,1.81261
25.031918,29.373777,20.263765,1.1326609,35.959274,42.57576,26.177277,2.2896552,0.041721545,0.7553872,0.022094883,0.027620336,-0.4999999999999997,-0.8660254037844388,417.29672,2031-07-31 00:45:01.884,7,0.23981811,62.2081,0,1.0022148363052197,1.7773743
24.8052,29.31718,20.324827,1.1364402,40.27628,46.73921,27.473215,2.443612,0.040384036,0.5902628,0.022165129,0.027866498,-0.8660254037844385,-0.5000000000000004,416.40515,2031-08-31 00:45:01.884,8,0.20974469,57.623413,0,0.9865882428616363,1.6463833
24.914436,29.382647,21.376135,0.9715815,46.448605,51.92169,30.895891,2.6553154,0.0390776,0.9107507,0.021880804,0.030973166,-1.0,-1.8369701987210297e-16,412.5015,2031-09-30 00:45:01.884,9,0.20566969,57.683624,0,0.9940867082047085,1.6481036
25.83348,30.172144,23.085953,0.85885143,52.672512,57.804924,35.66349,2.9217386,0.038788654,1.3527956,0.021490151,0.033130713,-0.8660254037844386,0.5000000000000001,409.2256,2031-10-31 00:45:01.884,10,0.20323703,57.631435,0,1.0594738650839428,1.6466124
27.260529,31.395967,24.377516,0.88372874,54.98825,61.001347,38.616272,3.2486126,0.03900892,1.1225203,0.021348303,0.030806422,-0.5000000000000004,0.8660254037844384,409.38943,2031-11-30 00:45:01.884,11,0.18212184,55.20973,1,1.1696305506773386,1.5774208
28.127205,32.148323,25.16542,0.94146484,53.418377,60.83081,37.97735,3.379001,0.038834274,0.77690923,0.020861123,0.029113322,-2.4492935982947064e-16,1.0,408.9981,2031-12-31 00:45:01.884,12,0.19747211,55.074013,1,1.2420476308271258,1.5735432
28.736416,32.827003,26.060104,0.9624002,49.675144,59.73545,34.001347,3.7596042,0.038885787,0.94014436,0.019917134,0.033371992,0.49999999999999994,0.8660254037844387,408.55032,2032-01-31 00:45:01.884,1,0.18233168,55.791504,1,1.2956190626462016,1.594043
28.831913,33.07409,26.40186,0.9099436,47.58416,58.228855,30.582561,3.860894,0.040311728,1.2855093,0.019573534,0.04169158,0.8660254037844386,0.5000000000000001,409.0562,2032-02-29 00:45:01.884,2,0.2014643,57.577347,0,1.3042236626193127,1.6450671
