sst_mean,sst_max,sst_min,sst_std,par_mean,par_max,par_min,par_std,kd_490_mean,kd_490_max,kd_490_min,kd_490_std,month_sin,month_cos,co2_ppm,time,pred_chlor_a_mean,pred_poc_mean,bleaching_risk
24.914436,29.382647,21.376135,0.9715815,46.448605,51.92169,30.895891,2.6553154,0.0390776,0.9107507,0.021880804,0.030973166,-0.7447849,-0.12362133,412.5015,2031-09-30 00:45:01.884,0.20792739,57.410454,0
25.83348,30.172144,23.085953,0.85885143,52.672512,57.804924,35.66349,2.9217386,0.038788654,1.3527956,0.021490151,0.033130713,-0.71525186,0.33680844,409.2256,2031-10-31 00:45:01.884,0.20502754,63.37937,0
27.260529,31.395967,24.377516,0.88372874,54.98825,61.001347,38.616272,3.2486126,0.03900892,1.1225203,0.021348303,0.030806422,-0.42067462,0.62113684,409.38943,2031-11-30 00:45:01.884,0.20165713,55.317616,0
28.127205,32.148323,25.16542,0.94146484,53.418377,60.83081,37.97735,3.379001,0.038834274,0.77690923,0.020861123,0.029113322,-0.044735253,0.7622025,408.9981,2031-12-31 00:45:01.884,0.20389181,54.379845,0
28.736416,32.827003,26.060104,0.9624002,49.675144,59.73545,34.001347,3.7596042,0.038885787,0.94014436,0.019917134,0.033371992,0.39197138,0.6909879,408.55032,2032-01-31 00:45:01.884,0.1959959,55.20024,1
28.831913,33.07409,26.40186,0.9099436,47.58416,58.228855,30.582561,3.860894,0.040311728,1.2855093,0.019573534,0.04169158,0.75378,0.4568466,409.0562,2032-02-29 00:45:01.884,0.20682192,57.741127,0
28.50481,32.699722,26.232134,0.81773734,46.288597,54.983547,30.266058,3.2285616,0.042599365,1.8258336,0.020295786,0.05196003,0.9164248,0.033902276,408.92276,2032-03-31 00:45:01.884,0.25008076,61.76128,0
27.962257,31.7387,24.801281,0.90494454,42.561535,50.833603,29.471203,2.7998774,0.04313192,1.478342,0.020553919,0.0474533,0.66625446,-0.51604325,411.80255,2032-04-30 00:45:01.884,0.2604905,63.561478,0
26.623106,30.528835,21.973145,1.0721464,37.609093,45.92808,26.902523,2.619193,0.042396333,1.0368721,0.020654825,0.039237857,0.27772656,-0.75534093,413.17462,2032-05-31 00:45:01.884,0.24569395,62.32944,0
25.806608,29.730349,19.904858,1.2192405,35.867886,42.84937,25.08973,2.4137805,0.04172113,0.97596526,0.02129678,0.03278907,-0.13389006,-0.82275176,414.34473,2032-06-30 00:45:01.884,0.24759609,61.71705,0
